current ID,accumulated P/L,accumulated reward,reward,position,action,fpl,cu,ma1,ma2,ma3,ma4,ma5
379,-5099.9999999996235,-5099.9999999996235,0,2,2,-0.060000000000002274,0.35551886792453047,0,0,0,0,0
380,-5399.999999999634,-5399.999999999634,-300.00000000001137,0,3,-0.030000000000001137,0.3855188679245316,0,0,0,0,0
381,-5399.999999999634,-5399.999999999634,0,0,3,0,0.3755188679245265,0,0,0,0,0
382,-5399.999999999634,-5399.999999999634,0,0,0,0,0.3655188679245214,0,0,0,0,0
383,-5399.999999999634,-5399.999999999634,0,0,0,0,0.3755188679245265,0,0,0,0,0
384,-5399.999999999634,-5399.999999999634,0,0,0,0,0.3655188679245214,0,0,0,0,0
385,-5399.999999999634,-5399.999999999634,0,1,1,0,0.35551886792453047,0,0,0,0,0
386,-5399.999999999634,-5399.999999999634,0,1,2,-0.01999999999999602,0.3755188679245265,0,0,0,0,0
387,-5599.999999999594,-5599.999999999594,-199.9999999999602,0,3,-0.01999999999999602,0.3755188679245265,0,0,0,0,0
388,-5599.999999999594,-5599.999999999594,0,0,3,0,0.4655188679245299,0,0,0,0,0
389,-5599.999999999594,-5599.999999999594,0,1,1,0,0.49551886792453104,0,0,0,0,0
390,-5599.999999999594,-5599.999999999594,0,1,2,-0.030000000000001137,0.5255188679245322,0,0,0,0,0
391,-5599.999999999594,-5599.999999999594,0,1,2,0.04000000000000625,0.4555188679245248,0,0,0,0,0
392,-5599.999999999594,-5599.999999999594,0,1,2,0.0799999999999983,0.41551886792453274,0,0,0,0,0
393,-5599.999999999594,-5599.999999999594,0,1,0,0.10000000000000853,0.3955188679245225,0,0,0,0,0
394,-5599.999999999594,-5599.999999999594,0,1,1,0.07000000000000739,0.42551886792452365,0,0,0,0,0
395,-5599.999999999594,-5599.999999999594,0,1,1,0.05000000000001137,0.44551886792451967,0,0,0,0,0
396,-5599.999999999594,-5599.999999999594,0,1,0,0.04000000000000625,0.4555188679245248,0,0,0,0,0
397,-5599.999999999594,-5599.999999999594,0,1,1,0.05000000000001137,0.44551886792451967,0,0,0,0,0
398,-5599.999999999594,-5599.999999999594,0,1,0,0.0,0.49551886792453104,0,0,0,0,0
399,-5599.999999999594,-5599.999999999594,0,1,1,0.0,0.49551886792453104,0,0,0,0,0
400,-5599.999999999594,-5599.999999999594,0,1,0,0.010000000000005116,0.4855188679245259,0,0,0,0,0
401,-5599.999999999594,-5599.999999999594,0,1,1,-0.009999999999990905,0.5055188679245219,0,0,0,0,0
402,-5599.999999999594,-5599.999999999594,0,1,0,0.030000000000001137,0.4655188679245299,0,0,0,0,0
